# Predicate(secs),DFS Time((secs))ForFASTDC,DFS Time((secs))ForFASTDC-DS,DFS Time((secs))ForFASTDC-DO
2.6315789473684212,0.0,0.0,0.0
6.105263157894737,0.0,0.0,0.0
9.368421052631579,0.0,0.0,0.0
13.263157894736842,0.0,0.0,0.0
18.0,0.05263157894736842,0.0,0.0
21.05263157894737,0.0,0.0,0.05263157894736842
25.36842105263158,0.0,0.05263157894736842,0.3157894736842105
30.105263157894736,0.3157894736842105,0.5789473684210527,3.1052631578947367
34.8421052631579,2.1052631578947367,3.3157894736842106,15.263157894736842
38.73684210526316,5.105263157894737,7.578947368421052,39.421052631578945
42.0,10.578947368421053,16.789473684210527,100.26315789473684
46.94736842105263,32.0,61.421052631578945,411.57894736842104
50.0,72.26315789473684,147.89473684210526,1142.0526315789473
