# Predicate(secs),DFS Time Per DC(m(secs))ForFASTDC,DFS Time Per DC(m(secs))ForFASTDC-DS,DFS Time Per DC(m(secs))ForFASTDC-DO
2.6315789473684212,16.263157894736842,0.15789473684210525,0.10526315789473684
6.105263157894737,0.2631578947368421,0.0,0.05263157894736842
9.368421052631579,0.21052631578947367,0.10526315789473684,0.15789473684210525
13.263157894736842,0.42105263157894735,0.3684210526315789,0.47368421052631576
18.0,1.4736842105263157,0.7368421052631579,1.5263157894736843
21.05263157894737,0.7894736842105263,0.6842105263157895,2.6842105263157894
25.36842105263158,0.42105263157894735,0.8947368421052632,3.4210526315789473
30.105263157894736,1.736842105263158,1.7894736842105263,9.789473684210526
34.8421052631579,4.2105263157894735,5.894736842105263,27.57894736842105
38.73684210526316,6.684210526315789,9.631578947368421,48.78947368421053
42.0,10.0,15.421052631578947,97.10526315789474
46.94736842105263,18.31578947368421,35.1578947368421,227.78947368421052
50.0,28.0,57.578947368421055,447.2105263157895
