# Predicate(secs),Normalized Time(m(secs))ForFASTDC,Normalized Time(m(secs))ForFASTDC-DS,Normalized Time(m(secs))ForFASTDC-DO
2.6315789473684212,16.263157894736842,0.15789473684210525,0.10526315789473684
6.105263157894737,0.2631578947368421,0.0,0.05263157894736842
9.368421052631579,0.21052631578947367,0.10526315789473684,0.15789473684210525
13.263157894736842,0.42105263157894735,0.3684210526315789,0.47368421052631576
18.0,0.9155056759545923,0.6328250578814646,0.8429746431380245
21.05263157894737,0.5877460124749767,0.475556558867531,0.2394022033216686
25.36842105263158,0.11374365507091683,0.0614397468049071,0.017918697397488702
30.105263157894736,0.1305242384939694,0.04624576755202808,0.00398295549734038
34.8421052631579,0.2246199584263564,0.023192853159962935,0.0026079461812429576
38.73684210526316,0.09198827424600067,0.014087893337517395,8.7151981274495E-4
42.0,0.03766876986139924,0.01534109419542605,0.0013382572324151423
46.94736842105263,0.034519323887747276,0.020980474662822574,5.062116933558686E-4
50.0,0.014559932331749114,0.00964716093941123,2.8660790597842106E-4
