# Predicates,Running Time(secs)ForFASTDC,Running Time(secs)ForFASTDC-DS,Running Time(secs)ForFASTDC-DO
2.6315789473684212,11.789473684210526,11.789473684210526,11.789473684210526
6.105263157894737,18.210526315789473,18.210526315789473,18.210526315789473
9.368421052631579,24.94736842105263,24.94736842105263,24.94736842105263
13.263157894736842,32.89473684210526,32.89473684210526,33.0
18.0,44.0,43.94736842105263,43.94736842105263
21.05263157894737,49.31578947368421,49.21052631578947,49.36842105263158
25.36842105263158,61.36842105263158,61.21052631578947,61.578947368421055
30.105263157894736,74.52631578947368,74.42105263157895,76.94736842105263
34.8421052631579,90.10526315789474,90.89473684210526,102.73684210526316
38.73684210526316,105.0,107.05263157894737,138.8421052631579
42.0,119.6842105263158,126.0,209.1578947368421
46.94736842105263,161.31578947368422,190.73684210526315,541.2631578947369
50.0,220.78947368421052,297.05263157894734,1291.578947368421
